# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Nov  5 13:31:29 2024
#
# User preference: *
#
# CONSTRAINT:  order by plntname asc
#
# COLUMN plntname:       Planet Name
# COLUMN centralwavelng: Central Wavelength [microns]
# COLUMN bandwidth:      Band Width [microns]
# COLUMN plntransdep:    Transit Depth [percentage]
# COLUMN plntransdeperr1: Transit Depth Upper Unc. [percentage]
# COLUMN plntransdeperr2: Transit Depth Lower Unc. [percentage]
# COLUMN plntransdeplim: Transit Depth Limit Flag
# COLUMN plnradj:        Planet Radius [Jupiter radii]
# COLUMN plnradjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN plnradjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN plnradjlim:     Planet Radius Limit Flag
# COLUMN plnratror:      Ratio of Planet to Stellar Radius
# COLUMN plnratrorerr1:  Ratio of Planet to Stellar Radius Upper Unc.
# COLUMN plnratrorerr2:  Ratio of Planet to Stellar Radius Lower Unc.
# COLUMN plnratrorlim:   Ratio of Planet to Stellar Radius Limit Flag
# COLUMN plntranmid:     Transit Mid-Point [BJD]
# COLUMN plntranmiderr1: Transit Mid-Point Upper Unc. [BJD]
# COLUMN plntranmiderr2: Transit Mid-Point Lower Unc. [BJD]
# COLUMN plntranmidlim:  Transit Mid-Point Limit Flag
# COLUMN plntranreflink: Reference
# COLUMN facility:       Facility
# COLUMN instrument:     Instrument
#
plntname,centralwavelng,bandwidth,plntransdep,plntransdeperr1,plntransdeperr2,plntransdeplim,plnradj,plnradjerr1,plnradjerr2,plnradjlim,plnratror,plnratrorerr1,plnratrorerr2,plnratrorlim,plntranmid,plntranmiderr1,plntranmiderr2,plntranmidlim,plntranreflink,facility,instrument
55 Cnc e,4.5000,,0.043300,0.009000,-0.009000,0,,,,,,,,,2456484.500000,1.000000,-1.000000,0,<a refstr=DEMORY_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.455.2018D/abstract target=ref>Demory et al. 2016</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
55 Cnc e,1.1320,0.0174,0.035800,0.001800,-0.001800,0,,,,,,,,,,,,,<a refstr=TSIARAS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820...99T/abstract target=ref>Tsiaras et al. 2016</a>,Hubble Space Telescope satellite,Wide Field Camera 3
55 Cnc e,1.1495,0.0177,0.036100,0.001800,-0.001800,0,,,,,,,,,,,,,<a refstr=TSIARAS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820...99T/abstract target=ref>Tsiaras et al. 2016</a>,Hubble Space Telescope satellite,Wide Field Camera 3
55 Cnc e,1.1674,0.0180,0.033700,0.001900,-0.001900,0,,,,,,,,,,,,,<a refstr=TSIARAS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820...99T/abstract target=ref>Tsiaras et al. 2016</a>,Hubble Space Telescope satellite,Wide Field Camera 3
55 Cnc e,1.1855,0.0182,0.035200,0.001500,-0.001500,0,,,,,,,,,,,,,<a refstr=TSIARAS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820...99T/abstract target=ref>Tsiaras et al. 2016</a>,Hubble Space Telescope satellite,Wide Field Camera 3
55 Cnc e,1.2039,0.0185,0.032900,0.001600,-0.001600,0,,,,,,,,,,,,,<a refstr=TSIARAS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820...99T/abstract target=ref>Tsiaras et al. 2016</a>,Hubble Space Telescope satellite,Wide Field Camera 3
55 Cnc e,1.2225,0.0188,0.032600,0.001400,-0.001400,0,,,,,,,,,,,,,<a refstr=TSIARAS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820...99T/abstract target=ref>Tsiaras et al. 2016</a>,Hubble Space Telescope satellite,Wide Field Camera 3
55 Cnc e,1.2415,0.0191,0.030200,0.001400,-0.001400,0,,,,,,,,,,,,,<a refstr=TSIARAS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820...99T/abstract target=ref>Tsiaras et al. 2016</a>,Hubble Space Telescope satellite,Wide Field Camera 3
55 Cnc e,1.2607,0.0194,0.033800,0.001500,-0.001500,0,,,,,,,,,,,,,<a refstr=TSIARAS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820...99T/abstract target=ref>Tsiaras et al. 2016</a>,Hubble Space Telescope satellite,Wide Field Camera 3
55 Cnc e,1.2803,0.0197,0.033300,0.001600,-0.001600,0,,,,,,,,,,,,,<a refstr=TSIARAS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820...99T/abstract target=ref>Tsiaras et al. 2016</a>,Hubble Space Telescope satellite,Wide Field Camera 3
